windSpdKts,gustKts,windVrbDeg,intensity,rain,visibilityMtrs,qnh,ws
08,0,0,0,0,9999,1027,0
07,0,60,0.3,1,9999,1026,0
07,0,0,0.3,1,9999,1026,0
07,0,0,0.3,1,7000,1025,0
08,0,0,0.3,1,6000,1025,0
07,0,60,0.3,1,9000,1025,0
09,0,60,0.3,1,9999,1024,0
09,0,100,0.3,1,9000,1024,0
07,0,60,0.3,1,8000,1024,0
09,0,90,0.3,1,9999,1024,0
07,0,120,0.3,1,8000,1023,0
08,0,70,0.3,1,8000,1023,0
09,0,0,0.3,1,7000,1024,0
09,0,0,0.3,1,8000,1024,0
07,0,160,0.3,1,8000,1025,0
08,0,100,0.3,1,8000,1025,0
09,0,60,0.3,1,9999,1025,0
09,0,60,0.3,1,9000,1026,0
07,0,60,0.3,1,8000,1026,0
06,0,80,0.3,1,6000,1027,0
04,0,60,0.6,1,4500,1027,0
06,0,0,0.6,1,3500,1026,0
05,0,60,0.3,1,6000,1026,0
06,0,0,0.3,1,7000,1026,0
09,0,60,0.3,1,7000,1025,0
05,0,70,0.3,1,7000,1024,0
01,0,0,0.3,1,8000,1024,0
03,0,0,0.3,1,6000,1023,0
07,0,0,0.3,1,6000,1022,0
07,0,60,0.3,1,9999,1022,0
10,0,0,0.3,1,7000,1022,0
08,0,0,0.3,1,9999,1023,0
09,0,0,0.3,1,9999,1023,0
09,0,0,0.3,1,9999,1023,0
10,0,0,0.3,1,9999,1023,0
08,0,0,0.3,1,9999,1023,0
07,0,70,0.3,1,9999,1022,0
08,0,0,0.3,1,9999,1022,0
06,0,60,0.3,1,8000,1022,0
10,0,0,0.3,1,8000,1022,0
11,0,0,0.3,1,7000,1022,0
11,0,0,0.3,1,9999,1022,0
10,0,60,0.3,1,7000,1022,0
11,0,0,0.3,1,9999,1022,0
12,0,0,0.3,1,9999,1022,0
13,0,0,0.3,1,9999,1021,0
13,0,0,0.3,1,9999,1021,0
14,0,0,0.3,1,9999,1021,0
11,0,60,0.3,1,9999,1022,0
13,0,0,0.3,1,9999,1022,0
13,0,0,0.3,1,9999,1022,0
13,0,0,0.3,1,8000,1022,0
14,0,0,0.3,1,6000,1023,0
12,0,0,0.3,1,6000,1023,0
13,0,0,0.3,1,8000,1023,0
12,0,0,0.3,1,7000,1023,0
13,0,60,0.3,1,7000,1024,0
13,0,0,0.3,1,6000,1024,0
12,0,0,0.3,1,6000,1024,0
10,0,0,0.3,1,3600,1024,0
09,0,0,0.3,1,6000,1024,0
11,0,0,0.3,1,7000,1023,0
11,0,0,0.3,1,7000,1023,0
12,0,0,0.3,1,9999,1023,0
11,0,0,0.3,1,7000,1023,0
10,21,0,0.3,1,6000,1023,0
14,0,0,0.3,1,9000,1023,0
13,0,0,0.3,1,8000,1023,0
12,0,0,0.3,1,6000,1023,0
10,0,0,0.3,1,6000,1024,0
